#^
# Automatically generated edge file
#
#
# format :
# index    x1    y1    x2    y2 
#
 
    8   7.09541e-02  -2.57593e-01   2.31405e-01  -9.94719e-02
    3   6.44531e-02  -2.45995e-01   6.58498e-02  -4.65074e-03
    0  -2.15440e-01  -1.42564e-01  -2.58196e-01   2.10973e-01
    7   2.31814e-01  -9.73970e-02   2.58287e-01   2.24478e-01
   12  -4.29294e-02  -1.66207e-02  -9.74608e-02   1.10869e-01
   19  -6.01772e-02  -1.32451e-02  -7.38463e-02   2.09666e-02
    3   6.71706e-02  -3.53774e-03   6.78405e-02   1.45249e-01
   27   1.67093e-01  -3.44631e-03   1.70645e-01   7.33229e-02
   34   1.78992e-01   2.84771e-03   1.85429e-01   8.45359e-02
   17  -1.21127e-01   6.42688e-03  -1.12971e-01   3.05070e-02
   11  -1.37663e-01   8.87963e-03  -1.02333e-01   1.10042e-01
   14  -8.15799e-02   4.17065e-02  -9.49697e-02   7.58939e-02
   13  -1.08350e-01   4.66572e-02  -9.97959e-02   7.58915e-02
   28   1.68733e-01   7.47919e-02   1.55441e-01   1.23009e-01
   33   1.87662e-01   8.54782e-02   2.06662e-01   1.50040e-01
   31   1.80254e-01   9.43676e-02   1.95150e-01   1.46650e-01
   30   1.77269e-01   9.56245e-02   1.69095e-01   1.29384e-01
    4  -2.56319e-01   2.16755e-01  -2.10819e-02   2.73366e-01
    2  -2.50800e-01   2.13615e-01   7.26166e-02   1.62197e-01
    1  -2.14094e-01  -1.45161e-01  -3.44785e-02  -2.22234e-01
   16  -1.36160e-01   7.40213e-03  -1.22670e-01   4.13261e-03
   18  -1.10145e-01   3.01864e-02  -7.62913e-02   2.12726e-02
   15  -1.06324e-01   4.49785e-02  -8.43436e-02   3.92855e-02
   22  -6.66768e-02   2.29982e-01   5.36059e-02   2.15314e-01
   24  -6.11902e-02   2.35423e-01   4.69599e-02   2.22798e-01
   20  -5.86801e-02  -1.45849e-02  -4.50422e-02  -1.88930e-02
    1  -3.12727e-02  -2.23699e-01   5.31964e-02  -2.58265e-01
    5  -1.91780e-02   2.72270e-01   2.31455e-01   2.46212e-01
