#^
# Automatically generated edge file
#
# image 0
#
# format :
# index    x1    y1    x2    y2 
#
 
   28   1.15597e-01  -2.71192e-01   1.39858e-01  -2.36143e-01
   26   2.16576e-01  -2.20545e-01   2.30505e-01  -1.84646e-01
   32   1.04231e-01  -2.03568e-01   1.14056e-01  -1.95242e-01
   32   1.15566e-01  -1.94241e-01   1.18673e-01  -1.90353e-01
    4   1.95004e-02  -1.52955e-01   1.74957e-02   1.44557e-01
    2  -1.47050e-01  -1.51578e-01  -1.47881e-01   1.42224e-01
    3  -1.37038e-01  -1.28618e-01  -1.36940e-01   1.70082e-01
    6   1.56578e-01  -5.61823e-02   1.56233e-01  -1.87546e-02
    6   1.56003e-01  -5.54182e-03   1.55583e-01   2.61133e-02
    6   1.55273e-01   3.32900e-02   1.54853e-01   8.90221e-02
    6   1.54239e-01   1.15539e-01   1.53396e-01   1.45621e-01
   10  -3.85556e-01  -2.26189e-01  -2.91363e-01  -1.97934e-01
    9  -3.85911e-01  -1.93471e-01  -2.92927e-01  -1.70223e-01
    7  -3.85287e-01   2.79646e-01  -2.89687e-01   2.40074e-01
    1  -2.80665e-01   1.88835e-01  -2.12213e-01   1.65227e-01
   11  -2.77873e-01  -1.90933e-01  -1.50551e-01  -1.53130e-01
    7  -2.76113e-01   2.32699e-01  -1.64291e-01   1.85755e-01
    1  -2.00222e-01   1.61046e-01  -1.49996e-01   1.43787e-01
   18  -1.86717e-01  -2.61307e-01  -1.47743e-01  -2.40570e-01
    7  -1.58396e-01   1.83329e-01  -1.38658e-01   1.75245e-01
   13  -1.46065e-01  -1.50969e-01   1.13014e-02  -1.56305e-01
   12  -1.39655e-01  -1.30983e-01   9.79720e-03  -1.36251e-01
    8  -1.33948e-01   1.71461e-01   5.58605e-02   1.82718e-01
   18  -1.32896e-01  -2.33458e-01  -9.11891e-02  -2.12609e-01
   19  -1.32880e-01  -2.07602e-01  -8.42117e-02  -2.08909e-01
   20  -1.32609e-01  -2.03779e-01  -5.94626e-02  -1.73277e-01
   29  -8.91094e-03  -2.02356e-01   1.02338e-01  -2.06713e-01
    5   2.05862e-02   1.47584e-01   5.68386e-02   1.50035e-01
   15   3.01938e-02  -1.52460e-01   1.52531e-01  -1.56235e-01
   31   3.14020e-02  -1.85533e-01   1.18576e-01  -1.88646e-01
   23   3.69035e-02  -1.70292e-01   1.59126e-01  -1.73867e-01
   14   3.68106e-02  -1.25676e-01   1.52100e-01  -1.28138e-01
    8   1.13486e-01   1.86975e-01   3.24948e-01   1.98216e-01
    5   1.14841e-01   1.52983e-01   1.49771e-01   1.54673e-01
   27   1.56492e-01  -2.20394e-01   2.15377e-01  -2.22529e-01
   17   1.57719e-01  -1.59851e-01   3.27239e-01  -1.64211e-01
   16   1.65963e-01  -1.39305e-01   3.28614e-01  -1.41367e-01
#! 
#^
# Automatically generated edge file
#
# image 1
#
# format :
# index    x1    y1    x2    y2 
#
 
